TEST#=,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58
SYMBOL=,CONT  ,IGSS  ,IGSS  ,ICES  ,ICES  ,ICES  ,HVICES,HVICES,VTH   ,SAME  ,VTH   ,SAME  ,VDSON ,DELAY ,VDSON ,DELAY ,VDSON ,DELAY ,VDSON ,DELAY ,VDSON ,DELAY ,HVDSON,DELAY ,HVDSON,DELAY ,HVDSON,DELAY ,HVDSON,DELAY ,HVDSON,DELAY ,HVDSON,DELAY ,VFEC  ,DELAY ,VFEC  ,DELAY ,VFEC  ,DELAY ,VFEC  ,DELAY ,VFEC  ,DELAY ,HVFEC ,DELAY ,HVFEC ,DELAY ,HVFEC ,DELAY ,HVFEC ,DELAY ,HVFEC ,DELAY ,HVFEC ,DELAY ,IGSS  ,IGSS  
LIMIT=,0,100.0nA,100.0nA,1.200uA,2.000mA,2.000mA,2.800mA,2.800mA,4.500 V,6.5,4.500 V,6.5,3.000 V,0,3.000 V,0,3.000 V,0,3.000 V,0,3.000 V,0,3.000 V,0,3.000 V,0,3.500 V,0,3.500 V,0,4.000 V,0,4.000 V,0,3.000 V,0,3.000 V,0,3.000 V,0,3.000 V,0,3.000 V,0,3.000 V,0,3.000 V,0,3.500 V,0,3.500 V,0,4.000 V,0,4.000 V,0,100.0nA,100.0nA
COND.1=,0,20.0 V,20.0 V,100  V,500  V,800  V,1.00kV,1.20kV,25.0uA,9,250 uA,11,1.00 A,0,3.00 A,0,5.00 A,0,10.0 A,0,15.0 A,0,20.0 A,0,25.0 A,0,30.0 A,0,40.0 A,0,60.0 A,0,75.0 A,0,1.00 A,0,3.00 A,0,5.00 A,0,10.0 A,0,15.0 A,0,20.0 A,0,25.0 A,0,30.0 A,0,40.0 A,0,60.0 A,0,75.0 A,0,20.0 V,20.0 V
COND.2=,0,0,0,0,0,0,0,0,0,0,0,0,15.0 V,0,15.0 V,0,15.0 V,0,15.0 V,0,15.0 V,0,15.0 V,0,15.0 V,0,15.0 V,0,15.0 V,0,15.0 V,0,15.0 V,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UNIT=, ,nA,nA,uA,mA,mA,mA,mA,V, ,V, ,V, ,V, ,V, ,V, ,V, ,V, ,V, ,V, ,V, ,V, ,V, ,V, ,V, ,V, ,V, ,V, ,V, ,V, ,V, ,V, ,V, ,V, ,nA,nA
28,,16.99,18.030001,75.75,0.1244,0.1885,0.2847,0.4739,0.03329,0.03329,3.749,3.749,0.857,,1.206,,1.425,,1.805,,2.106,,2.399,,2.646,,2.879,,3.33,,4.236,,4.988,,0.6102,,0.8121,,0.9531,,1.22,,1.432,,1.603,,1.767,,1.919,,2.199,,2.694,,3.031,,17.870001,30.799999
29,,18.049999,17.299999,74.639999,0.1227,0.1859,0.2809,0.4689,0.03411,0.03411,3.732,3.732,0.8563,,1.205,,1.423,,1.806,,2.104,,2.395,,2.64,,2.874,,3.322,,4.222,,4.968,,0.609,,0.8086,,0.9435,,1.21,,1.422,,1.589,,1.751,,1.901,,2.177,,2.667,,3,,21.35,24.280001
30,,15.81,20.370001,73.559998,0.1209,0.1829,0.2753,0.4597,0.03506,0.03506,3.739,3.739,0.8563,,1.204,,1.422,,1.803,,2.102,,2.393,,2.639,,2.872,,3.32,,4.219,,4.966,,0.61,,0.8115,,0.9505,,1.216,,1.428,,1.597,,1.76,,1.911,,2.188,,2.681,,3.018,,21.52,22.719999
31,,26.15,28.280001,102.900002,0.1666,0.2467,0.3593,0.5722,0.02176,0.02176,3.594,3.594,0.8277,,1.168,,1.384,,1.762,,2.057,,2.346,,2.591,,2.822,,3.267,,4.156,,4.887,,0.603,,0.8057,,0.9459,,1.219,,1.438,,1.614,,1.783,,1.941,,2.23,,2.744,,3.092,,25.57,23.15
32,,23.77,22.15,107.5,0.1713,0.2497,0.3577,0.56,0.01959,0.01959,3.651,3.651,0.8491,,1.203,,1.427,,1.822,,2.13,,2.428,,2.683,,2.924,,3.39,,4.329,,5.118,,0.619,,0.8445,,1.001,,1.3,,1.551,,1.749,,1.938,,2.112,,2.431,,2.99,,3.366,,20.49,26.92
33,,12.95,23.6,102.300003,0.1611,0.2315,0.3261,0.5122,0.02073,0.02073,3.678,3.678,0.8417,,1.191,,1.413,,1.802,,2.106,,2.402,,2.653,,2.891,,3.35,,4.272,,5.039,,0.6201,,0.8435,,1.005,,1.308,,1.554,,1.751,,1.941,,2.115,,2.436,,2.996,,3.373,,27.17,22.969999
34,,17.549999,24.389999,100.699997,0.1608,0.2353,0.3387,0.5336,0.02144,0.02144,3.638,3.638,0.8409,,1.189,,1.409,,1.795,,2.095,,2.389,,2.638,,2.874,,3.328,,4.237,,4.989,,0.617,,0.8401,,0.994,,1.289,,1.537,,1.731,,1.916,,2.088,,2.401,,2.95,,3.32,,19.1,32.07
35,,21.790001,24.200001,95.870003,0.1529,0.2238,0.3236,0.5125,0.02318,0.02318,3.642,3.642,0.836,,1.18,,1.397,,1.779,,2.075,,2.367,,2.613,,2.847,,3.295,,4.192,,4.933,,0.6182,,0.8395,,0.994,,1.293,,1.532,,1.725,,1.909,,2.079,,2.39,,2.935,,3.301,,21.9,21.65
36,,16.549999,19.67,88,0.1413,0.2088,0.3054,0.4863,0.02616,0.02616,3.675,3.675,0.8367,,1.178,,1.395,,1.772,,2.066,,2.355,,2.599,,2.829,,3.273,,4.159,,4.887,,0.621,,0.8419,,0.997,,1.29,,1.533,,1.725,,1.908,,2.078,,2.387,,2.929,,3.294,,18.77,32.52
37,,14.39,19.07,79.790001,0.1278,0.1877,0.2729,0.4389,0.03036,0.03036,3.708,3.708,0.8342,,1.172,,1.385,,1.76,,2.049,,2.336,,2.577,,2.806,,3.245,,4.124,,4.846,,0.624,,0.8441,,0.998,,1.292,,1.534,,1.727,,1.91,,2.08,,2.39,,2.934,,3.3,,15.75,21.08
