TEST#=,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58
SYMBOL=,CONT  ,IGSS  ,IGSS  ,ICES  ,ICES  ,ICES  ,HVICES,HVICES,VTH   ,SAME  ,VTH   ,SAME  ,VDSON ,DELAY ,VDSON ,DELAY ,VDSON ,DELAY ,VDSON ,DELAY ,VDSON ,DELAY ,HVDSON,DELAY ,HVDSON,DELAY ,HVDSON,DELAY ,HVDSON,DELAY ,HVDSON,DELAY ,HVDSON,DELAY ,VFEC  ,DELAY ,VFEC  ,DELAY ,VFEC  ,DELAY ,VFEC  ,DELAY ,VFEC  ,DELAY ,HVFEC ,DELAY ,HVFEC ,DELAY ,HVFEC ,DELAY ,HVFEC ,DELAY ,HVFEC ,DELAY ,HVFEC ,DELAY ,IGSS  ,IGSS  
LIMIT=,0,100.0nA,100.0nA,1.200uA,2.000mA,2.000mA,2.800mA,2.800mA,4.500 V,6.5,4.500 V,6.5,3.000 V,0,3.000 V,0,3.000 V,0,3.000 V,0,3.000 V,0,3.000 V,0,3.000 V,0,3.500 V,0,3.500 V,0,4.000 V,0,4.000 V,0,3.000 V,0,3.000 V,0,3.000 V,0,3.000 V,0,3.000 V,0,3.000 V,0,3.000 V,0,3.500 V,0,3.500 V,0,4.000 V,0,4.000 V,0,100.0nA,100.0nA
COND.1=,0,20.0 V,20.0 V,100  V,500  V,800  V,1.00kV,1.20kV,25.0uA,9,250 uA,11,1.00 A,0,3.00 A,0,5.00 A,0,10.0 A,0,15.0 A,0,20.0 A,0,25.0 A,0,30.0 A,0,40.0 A,0,60.0 A,0,75.0 A,0,1.00 A,0,3.00 A,0,5.00 A,0,10.0 A,0,15.0 A,0,20.0 A,0,25.0 A,0,30.0 A,0,40.0 A,0,60.0 A,0,75.0 A,0,20.0 V,20.0 V
COND.2=,0,0,0,0,0,0,0,0,0,0,0,0,15.0 V,0,15.0 V,0,15.0 V,0,15.0 V,0,15.0 V,0,15.0 V,0,15.0 V,0,15.0 V,0,15.0 V,0,15.0 V,0,15.0 V,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UNIT=, ,nA,nA,uA,mA,mA,mA,mA,V, ,V, ,V, ,V, ,V, ,V, ,V, ,V, ,V, ,V, ,V, ,V, ,V, ,V, ,V, ,V, ,V, ,V, ,V, ,V, ,V, ,V, ,V, ,V, ,nA,nA
34,,9.999,3.6,0.391,0.000571,0.000768,0.001059,0.002145,4.091,4.091,4.565,4.565,0.9655,,1.255,,1.427,,1.711,,1.924,,2.139,,2.313,,2.478,,2.79,,3.398,,3.869,,0.7476,,0.956,,1.098,,1.366,,1.577,,1.742,,1.902,,2.049,,2.318,,2.795,,3.12,,19.07,3.3
35,,0.19,15.99,0.367,0.000553,0.000732,0.00106,0.00185,4.1,4.1,4.573,4.573,0.9637,,1.251,,1.422,,1.706,,1.919,,2.131,,2.305,,2.469,,2.781,,3.387,,3.857,,0.7479,,0.9591,,1.101,,1.367,,1.578,,1.743,,1.902,,2.049,,2.318,,2.793,,3.117,,10.95,6.79
36,,1.8,1.59,0.3617,0.000537,0.00074,0.00097,0.001899,4.118,4.118,4.591,4.591,0.9628,,1.25,,1.422,,1.706,,1.92,,2.132,,2.306,,2.471,,2.783,,3.39,,3.862,,0.7489,,0.9615,,1.105,,1.371,,1.579,,1.748,,1.907,,2.054,,2.323,,2.798,,3.122,,20.08,4.12
37,,0.79,3.95,0.3559,0.000549,0.000747,0.00114,0.00195,4.11,4.11,4.583,4.583,0.9629,,1.249,,1.42,,1.704,,1.917,,2.128,,2.302,,2.465,,2.777,,3.38,,3.849,,0.7492,,0.9625,,1.105,,1.373,,1.585,,1.752,,1.913,,2.06,,2.331,,2.81,,3.137,,0.42,16.59
38,,3.7,2.49,0.3536,0.000568,0.00076,0.001,0.00214,4.019,4.019,4.484,4.484,0.9415,,1.219,,1.385,,1.662,,1.869,,2.077,,2.247,,2.407,,2.71,,3.295,,3.747,,0.7488,,0.9633,,1.108,,1.372,,1.585,,1.752,,1.913,,2.061,,2.332,,2.813,,3.141,,3.72,6.65
39,,3.39,15.25,0.3709,0.000574,0.00076,0.00108,0.00206,4.015,4.015,4.479,4.479,0.9395,,1.216,,1.381,,1.657,,1.865,,2.071,,2.241,,2.4,,2.703,,3.288,,3.737,,0.7479,,0.9594,,1.103,,1.368,,1.578,,1.744,,1.904,,2.051,,2.32,,2.796,,3.122,,13.07,4.53
40,,6.25,1.33,0.3758,0.000566,0.000782,0.001,0.002129,3.995,3.995,4.459,4.459,0.9346,,1.209,,1.372,,1.645,,1.85,,2.058,,2.227,,2.385,,2.686,,3.265,,3.712,,0.7463,,0.959,,1.099,,1.364,,1.572,,1.74,,1.9,,2.047,,2.316,,2.793,,3.118,,11.39,6.71
41,,3.52,0.69,0.4105,0.000652,0.000861,0.001239,0.002417,3.979,3.979,4.446,4.446,0.9271,,1.201,,1.366,,1.64,,1.847,,2.055,,2.225,,2.384,,2.686,,3.269,,3.719,,0.7441,,0.9559,,1.096,,1.361,,1.57,,1.738,,1.897,,2.045,,2.314,,2.791,,3.117,,12,1.25
42,,2.1,4.55,0.4196,0.000635,0.00086,0.001225,0.00252,4.009,4.009,4.48,4.48,0.9327,,1.209,,1.377,,1.653,,1.863,,2.073,,2.244,,2.406,,2.712,,3.304,,3.761,,0.746,,0.956,,1.098,,1.365,,1.575,,1.742,,1.902,,2.05,,2.321,,2.801,,3.129,,2.5,0.85
43,,0,1.99,0.3952,0.000624,0.000848,0.001159,0.00234,4.038,4.038,4.509,4.509,0.9374,,1.216,,1.384,,1.663,,1.874,,2.084,,2.257,,2.419,,2.726,,3.323,,3.784,,0.7446,,0.959,,1.1,,1.367,,1.579,,1.746,,1.907,,2.055,,2.326,,2.808,,3.137,,2.24,0.75
